id,altura_cm,peso_kg,vol_A_mediana_L,vol_B_p75_L,vol_E_envelope_L,width_cm,alto_max_cm,k_A,k_B,k_E
v1,92.5,165,69.30,79.80,124.50,112.60,60.70,2.381,2.068,1.325
v2,100.1,230,89.80,107.10,152.90,117.80,64.90,2.561,2.148,1.504
v3,92.3,180.5,56.30,67.00,106.80,103.40,56.50,3.206,2.694,1.690
v4,100.1,202,75.10,91.30,167.00,112.30,71.10,2.690,2.212,1.210
v5,92.3,168.5,63.40,72.20,181.10,128.60,70.70,2.658,2.334,0.930
v7,96.2,169,85.90,96.40,153.00,120.10,66.20,1.967,1.753,1.105
v8,92.3,180.5,64.40,78.00,119.50,108.10,60.70,2.803,2.314,1.510
v9,94.1,188.5,62.30,73.80,123.90,106.40,61.90,3.026,2.554,1.521
v10,95.1,210,53.20,65.00,113.80,104.00,61.90,3.947,3.231,1.845
v12,100.0,183.5,90.30,115.90,200.20,138.80,66.10,2.032,1.583,0.917
v13,97.9,167,76.70,97.90,179.50,121.50,67.50,2.177,1.706,0.930
v14,98.6,166,91.10,117.90,261.70,135.60,79.70,1.822,1.408,0.634
v15,96.5,160,95.10,132.40,238.90,131.60,79.60,1.682,1.208,0.670
