nombre,altura_real_cm,peso_real_kg,altura_calculada_cm,within_rectangle,vol_barril_litros,error
116_316,116.0,316.0,117.5,✓,344.0,
117_307,117.0,307.0,115.2,✓,218.2,
117_330,117.0,330.0,117.6,✓,307.6,
117_349,117.0,349.0,115.8,✓,364.7,
117_363,117.0,363.0,117.3,✓,278.0,
118_313_arriba,118.0,313.0,114.3,✓,268.2,
119_311,119.0,311.0,110.6,✓,315.5,
119_313,119.0,313.0,117.1,✓,356.1,
119_389_adelante,119.0,389.0,117.0,✓,265.5,
120_305,120.0,305.0,113.4,✓,313.8,
120_305_20260513_121331,120.0,305.0,,,315.1,
120_321,120.0,321.0,113.7,✓,457.2,
120_340_arriba,120.0,340.0,115.1,✓,310.0,
121_322,121.0,322.0,124.8,✓,324.0,
121_330,121.0,330.0,109.6,✓,460.4,
121_418_arriba,121.0,418.0,125.6,✓,346.6,
122_351,122.0,351.0,121.0,✓,305.5,
124_341,124.0,341.0,113.7,✓,401.9,
124_364_arriba,124.0,364.0,118.1,✓,409.5,
124_374,124.0,374.0,117.5,✓,293.3,
