dataset,cow,altura_cm,vol_v6_L,vol_v7_L,delta_L,delta_pct,width_v6_cm,width_v7_cm,width_delta_cm,alto_v6_cm,alto_v7_cm,alto_delta_cm,vol_A_med_v6,vol_A_med_v7,vol_B_p75_v6,vol_B_p75_v7
14mayo,100_137.5,85.6,131.0,142.5,11.5,8.78,124.1,125.0,0.9,59.1,65.6,6.5,46.4,49.8,53.2,52.7
14mayo,101_156,105.3,189.9,181.2,-8.7,-4.58,119.7,114.2,-5.5,77.4,76.8,-0.6,101.5,105.8,109.9,117.2
14mayo,102_150,108.2,256.8,213.6,-43.2,-16.82,161.1,129.2,-31.9,71.3,71.5,0.2,110.9,102.0,133.1,135.7
14mayo,102_168.5,108.2,182.3,157.7,-24.6,-13.49,129.2,123.6,-5.6,65.7,60.4,-5.3,90.8,86.8,109.7,98.8
14mayo,102_171.5,90.2,137.3,154.6,17.3,12.6,116.3,122.1,5.8,60.5,88.2,27.7,69.6,69.5,86.9,98.7
14mayo,102_177,96.1,135.1,133.2,-1.9,-1.41,105.8,104.0,-1.8,66.4,65.1,-1.3,81.4,84.1,90.3,93.0
14mayo,103_169,105.4,240.8,244.1,3.3,1.37,136.0,130.0,-6.0,72.4,77.1,4.7,141.2,135.2,159.2,152.2
14mayo,103.5_173.5,102.1,197.8,282.2,84.4,42.67,121.3,174.0,52.7,72.7,68.7,-4.0,104.6,110.4,128.6,133.6
14mayo,105_182.5,100.9,416.5,778.9,362.4,87.01,145.5,141.3,-4.2,92.2,135.2,43.0,170.5,203.8,189.1,214.9
14mayo,110_221,105.1,178.3,191.7,13.4,7.52,126.6,126.4,-0.2,66.3,67.4,1.1,123.6,123.5,139.2,140.4
14mayo,110_228,112,327.2,300.9,-26.3,-8.04,188.1,177.8,-10.3,73.5,73.3,-0.2,152.6,152.0,168.0,164.5
14mayo,112_203,102.6,229.3,241.6,12.3,5.36,143.4,139.1,-4.3,73.7,78.8,5.1,134.8,140.3,158.5,158.8
14mayo,113_214,109.1,207.0,299.0,92.0,44.44,125.3,175.1,49.8,73.8,74.6,0.8,132.4,123.3,150.2,148.9
14mayo,114_166,108.9,303.0,275.1,-27.9,-9.21,152.0,142.0,-10.0,83.7,85.1,1.4,158.4,152.7,192.4,181.6
6mayo,116_316,116,344.0,373.9,29.9,8.69,152.1,162.7,10.6,86.7,86.7,0.0,193.3,209.6,222.6,230.1
6mayo,117_307,117,218.2,210.0,-8.2,-3.76,130.9,126.4,-4.5,73.5,71.2,-2.3,116.5,122.4,137.2,140.6
6mayo,117_330,117,307.6,323.3,15.7,5.1,155.1,156.5,1.4,79.1,82.6,3.5,181.6,189.1,206.1,206.9
6mayo,117_349,117,364.7,411.1,46.4,12.72,160.4,185.3,24.9,86.9,85.9,-1.0,203.9,199.9,244.7,226.5
6mayo,117_363,117,278.0,372.4,94.4,33.96,152.3,174.6,22.3,80.5,84.6,4.1,153.8,161.1,182.1,191.3
6mayo,118_313_arriba,118,268.2,264.7,-3.5,-1.3,151.7,149.0,-2.7,74.1,74.5,0.4,158.6,192.0,204.1,216.5
6mayo,119_311,119,315.5,322.0,6.5,2.06,156.5,159.3,2.8,83.4,80.9,-2.5,184.7,191.9,213.0,213.6
6mayo,119_313,119,356.1,365.3,9.2,2.58,161.6,161.1,-0.5,80.1,83.2,3.1,225.9,238.2,256.9,268.5
6mayo,119_389_adelante,119,265.5,276.0,10.5,3.95,154.6,150.9,-3.7,77.5,81.2,3.7,170.4,186.5,188.0,200.0
6mayo,120_305,120,313.8,322.3,8.5,2.71,150.7,155.1,4.4,79.6,76.7,-2.9,178.5,186.8,207.5,208.9
6mayo,120_321,120,457.2,463.4,6.2,1.36,184.8,183.0,-1.8,86.0,93.4,7.4,180.0,264.0,248.8,306.8
6mayo,120_340_arriba,120,310.0,303.8,-6.2,-2.0,151.3,151.0,-0.3,79.1,77.7,-1.4,206.6,210.9,239.9,225.2
6mayo,121_322,121,324.0,279.3,-44.7,-13.8,157.7,150.7,-7.0,82.3,78.7,-3.6,182.1,197.3,209.5,208.2
6mayo,121_330,121,460.4,502.0,41.6,9.04,182.9,189.3,6.4,89.4,92.9,3.5,221.9,182.9,284.0,210.5
6mayo,121_418_arriba,121,346.6,319.6,-27.0,-7.79,158.5,158.5,0.0,81.8,79.5,-2.3,177.0,171.0,210.3,182.2
6mayo,122_351,122,305.5,501.2,195.7,64.06,148.4,200.0,51.6,80.1,94.7,14.6,172.6,170.9,202.8,195.1
6mayo,124_341,124,401.9,429.8,27.9,6.94,164.2,163.7,-0.5,87.8,91.1,3.3,188.8,195.6,230.8,243.3
6mayo,124_364_arriba,124,409.5,416.4,6.9,1.68,171.9,174.9,3.0,84.4,90.4,6.0,224.9,230.5,264.0,257.2
6mayo,124_374,124,293.3,276.1,-17.2,-5.86,145.0,145.5,0.5,80.2,75.9,-4.3,196.8,203.3,209.4,211.7
