dataset,individuo,vol_total_con_cresta_L,vol_total_sin_cresta_L,dif_total_L,corte50_con_cresta_L,corte50_sin_cresta_L,dif_corte50_L
6mayo,116_316,452.0,439.3,-12.7,103.3,128.0,24.7
6mayo,117_307,275.6,268.4,-7.2,69.2,73.3,4.1
6mayo,117_330,418.0,405.4,-12.6,100.9,123.4,22.5
6mayo,117_349,379.0,366.6,-12.4,98.5,148.0,49.5
6mayo,117_363,352.8,344.2,-8.6,93.5,94.7,1.2
6mayo,118_313_arriba,289.0,279.0,-10.0,45.9,74.5,28.6
6mayo,119_311,325.7,318.4,-7.3,91.0,99.7,8.7
6mayo,119_313,438.4,424.7,-13.7,104.7,129.3,24.6
6mayo,119_389_adelante,319.8,312.3,-7.5,97.9,102.3,4.4
6mayo,120_305,303.2,297.0,-6.2,94.8,95.3,0.5
6mayo,120_321,402.6,392.8,-9.8,161.4,185.7,24.3
6mayo,120_340_arriba,340.0,327.7,-12.3,105.1,120.9,15.8
6mayo,121_322,405.2,393.9,-11.3,130.4,150.0,19.6
6mayo,121_330,331.7,323.8,-7.9,88.8,109.5,20.7
6mayo,121_418_arriba,482.5,470.2,-12.3,111.2,128.5,17.3
6mayo,122_351,347.1,339.6,-7.5,95.6,108.1,12.5
6mayo,124_341,417.5,403.7,-13.8,123.4,159.4,36.0
6mayo,124_364_arriba,404.6,394.4,-10.2,113.4,150.4,37.0
6mayo,124_374,261.0,254.3,-6.7,78.8,100.4,21.6
14mayo,100_137.5,145.7,141.9,-3.8,38.5,50.0,11.5
14mayo,101_156,214.7,208.8,-5.9,61.6,73.9,12.3
14mayo,102_150,279.1,270.6,-8.5,53.3,78.3,25.0
14mayo,102_168.5,249.8,242.4,-7.4,71.6,86.2,14.6
14mayo,102_171.5,176.4,172.0,-4.4,48.0,62.9,14.9
14mayo,102_177,197.7,190.9,-6.8,50.1,59.3,9.2
14mayo,103.5_173.5,244.1,236.1,-8.0,40.0,55.1,15.1
14mayo,103_169,315.4,304.9,-10.5,57.7,78.0,20.3
14mayo,105_182.5,1028.9,996.7,-32.2,163.7,279.4,115.7
14mayo,110_221,233.6,226.6,-7.0,46.4,66.8,20.4
14mayo,110_228,277.9,269.6,-8.3,66.9,93.9,27.0
14mayo,112_203,319.0,309.5,-9.5,94.8,109.0,14.2
14mayo,113_214,287.7,280.0,-7.7,67.7,86.0,18.3
14mayo,114_166,289.7,280.9,-8.8,64.2,95.9,31.7
20mayo,118_462,395.7,385.9,-9.8,100.6,121.6,21.0
20mayo,118_510,355.5,344.9,-10.6,98.4,115.6,17.2
20mayo,124_478,515.9,500.4,-15.5,125.5,171.9,46.4
20mayo,124_498,418.0,406.8,-11.2,58.4,94.4,36.0
20mayo,126_463,372.5,362.3,-10.2,87.6,115.4,27.8
20mayo,127_435,400.8,389.9,-10.9,65.6,98.0,32.4
20mayo,129_472,217.4,211.3,-6.1,53.2,67.5,14.3
20mayo,129_477,503.7,487.6,-16.1,113.5,149.1,35.6
20mayo,129_487,428.6,416.6,-12.0,78.2,117.2,39.0
20mayo,129_504,430.0,418.6,-11.4,105.7,121.7,16.0
20mayo,133_544,465.4,451.4,-14.0,86.4,114.7,28.3
20mayo,134_532,522.7,507.9,-14.8,90.1,135.1,45.0
20mayo,134_556,518.4,501.0,-17.4,97.0,156.4,59.4
20mayo,135_630,488.9,477.2,-11.7,60.0,96.0,36.0
12junio,000_306,369.1,360.4,-8.7,91.2,116.6,25.4
12junio,000_391,356.5,348.9,-7.6,80.4,105.0,24.6
12junio,000_392B,577.6,561.9,-15.7,150.5,215.5,65.0
12junio,000_392C,453.0,442.1,-10.9,129.6,157.5,27.9
12junio,000_395,393.4,379.7,-13.7,83.1,108.9,25.8
12junio,000_435,459.3,443.8,-15.5,85.8,120.5,34.7
12junio,000_435A,632.0,617.2,-14.8,160.1,188.5,28.4
12junio,000_436,477.6,466.0,-11.6,96.7,140.8,44.1
12junio,000_446,429.3,418.7,-10.6,101.7,127.6,25.9
12junio,000_447,630.6,616.0,-14.6,199.3,226.3,27.0
12junio,000_448,424.7,412.2,-12.5,94.4,132.7,38.3
12junio,000_499,457.6,446.1,-11.5,150.8,176.4,25.6
12junio,000_524,571.4,559.0,-12.4,97.8,125.2,27.4
12junio,000_560,519.1,503.1,-16.0,85.4,139.3,53.9
