dataset,individuo,dist_cruz_anca_cm,ancho_franja_cm,vol_central_L
6mayo,116_316,80.4,20.1,50.8
6mayo,117_307,65.8,16.5,34.5
6mayo,117_330,80.2,20.0,50.2
6mayo,117_349,86.6,21.7,47.5
6mayo,117_363,74.1,18.5,42.3
6mayo,118_313_arriba,66.4,16.6,31.7
6mayo,119_311,74.0,18.5,41.5
6mayo,119_313,79.8,20.0,54.3
6mayo,119_389_adelante,73.4,18.3,39.1
6mayo,120_305,75.6,18.9,42.9
6mayo,120_321,99.1,24.8,58.9
6mayo,120_340_arriba,80.0,20.0,44.1
6mayo,121_322,87.8,21.9,54.2
6mayo,121_330,73.9,18.5,42.8
6mayo,121_418_arriba,79.0,19.8,63.7
6mayo,122_351,76.8,19.2,44.3
6mayo,124_341,89.9,22.5,53.6
6mayo,124_364_arriba,87.1,21.8,51.9
6mayo,124_374,74.0,18.5,37.7
14mayo,100_137.5,61.4,15.4,18.8
14mayo,101_156,66.0,16.5,27.6
14mayo,102_150,64.9,16.2,32.7
14mayo,102_168.5,70.4,17.6,31.5
14mayo,102_171.5,66.5,16.6,23.9
14mayo,102_177,61.5,15.4,23.8
14mayo,103.5_173.5,59.9,15.0,27.0
14mayo,103_169,64.5,16.1,35.0
14mayo,105_182.5,101.2,25.3,145.9
14mayo,110_221,66.9,16.7,28.2
14mayo,110_228,72.3,18.1,37.0
14mayo,112_203,77.8,19.5,38.5
14mayo,113_214,67.4,16.9,35.8
14mayo,114_166,72.9,18.2,37.0
20mayo,118_462,82.6,20.6,48.6
20mayo,118_510,79.4,19.8,45.1
20mayo,124_478,94.6,23.7,59.7
20mayo,124_498,69.1,17.3,47.1
20mayo,126_463,81.3,20.3,50.5
20mayo,127_435,72.3,18.1,40.0
20mayo,129_472,68.1,17.0,26.5
20mayo,129_477,85.2,21.3,63.0
20mayo,129_487,79.4,19.9,51.7
20mayo,129_504,81.2,20.3,49.0
20mayo,133_544,77.6,19.4,54.8
20mayo,134_532,82.8,20.7,59.1
20mayo,134_556,85.5,21.4,60.9
20mayo,135_630,72.1,18.0,48.6
12junio,000_306,80.9,20.2,47.0
12junio,000_391,75.4,18.8,42.0
12junio,000_392B,100.3,25.1,70.2
12junio,000_392C,89.5,22.4,59.4
12junio,000_395,76.8,19.2,46.4
12junio,000_435,81.9,20.5,47.7
12junio,000_435A,93.5,23.4,78.4
12junio,000_436,82.2,20.6,54.3
12junio,000_446,83.4,20.9,50.3
12junio,000_447,101.5,25.4,84.7
12junio,000_448,85.6,21.4,49.7
12junio,000_499,94.3,23.6,57.4
12junio,000_524,81.8,20.4,64.9
12junio,000_560,81.9,20.5,56.0
